Country,Proposed_VitD,CRC0to14,CRC15to29,CRC30to44,CRC45to59,CRC60to74,CRC_over75,COUNTRY_CODE,ADJ_UVB,UVB_unitless_Aura,UVB_unitless_Aura2,URBAN_PERCENT,PIGMENTATION,GDP,LIFE_EXPECTANCY,SMOKING_PREV,ANIMAL_CONSUMPTION,OZONE
The Gambia,91.4,0,0,0.9,2.4,5.9,3.4,GMB,11.2602,149.5,248,57.3,3,1519.84,59.62,12.2,8.15,275
The Netherlands, ,0.2,1.6,7.1,60.7,231.4,364.3,NLD,2.9645,40.6086957,148.9473684,83.2,0,45040.32,80.7,21,78.39,340
Togo, ,0,0.7,3.5,12.6,34.9,53.8,TGO,12.39784,221.2,252.1111111,38,3,1216.51,57.47,6.1,10.84,240
Trinidad and Tobago, ,0,0.4,5,37.4,104.8,173.7,TTO,10.39885,31,234,13.7,2,30620.17,69.76,17.2,69.37,240
Tunisia,42.5,0,1.1,5.6,22.7,59.7,88,TUN,9.98025,37.1111111,211.78125,66.3,2,10227.33,74.79,24.3,27.34,270
Turkey,65.7,0.1,0.8,7,39.7,109.4,173.8,TUR,5.98752,30.0699708,184.9590643,71.5,1.5,17425.86,74.15,27.5,31.39,285
Turkmenistan, ,0,0.3,2.9,10.1,27.3,56.8,TKM,8.11503,13.8360656,213.6693878,48.7,1.5,9738.98,66.66,19.8,57.82,290
Uganda, ,0,0.7,2.7,9.7,43.2,83.3,UGA,9.6292,179.5061728,251.2183908,15.6,3,1552.94,57.15,8.1,12.64,240
Ukraine,19,0,0.7,5,50.3,161.2,186.6,UKR,3.1591,33.2145215,152.9872611,68.9,0.5,7664.4,70.27,26.8,49.07,320
United Arab Emirates,55,0.1,0.5,2.7,19.5,79.7,116.7,ARE,13.09245,121.9333333,246.4814815,84.4,2,54230.17,76.34,15.3,54.15,240
United Kingdom,46.6,0.2,2.7,10.2,53.2,176.1,317.3,GBR,2.83045,34.4513889,135.25,79.6,0,36012.68,80.4,20.4,81.05,350
United States of America, ,0.1,1.3,11.5,53.1,124.3,209.4,USA,5.50181,25.8632788,174.8790442,82.4,0,48466.82,78.54,15.9,118.82,305
Uruguay, ,0.3,1.2,7.9,57.6,200.1,358,URY,6.36272,28.1805556,166.4383562,92.5,1,16808.28,76.59,22.2,75.15,280
Uzbekistan, ,0,0.4,2.4,12,31.7,46.8,UZB,7.99491,18.8955224,207.8365385,36.2,1.5,4153.67,70,10.8,29.73,290
Vanuatu, ,0,0,0,18.3,26.6,26.2,VUT,10.82256,41.8,225,24.9,2,2888.74,70.72,17.1,38.02,280
"Venezuela, Bolivarian Republic of", ,0,0.7,3.4,24.7,72.8,119.3,VEN,10.49048,159.216129,245.3765823,93.5,2,16541.56,73.63,16.4,71.54,225
Viet Nam, ,0,1.2,5.5,29,64.6,92.3,VNM,11.05188,133.0956522,235.275,31,2,4342.75,75.12,20.2,51.52,275
Yemen, ,0.1,0.5,2.9,13.1,45.7,76.6,YEM,15.81391,230.9263804,250.8834356,32.3,2,4472.73,63.51,13.7,19.12,250
Zambia, ,0,0.5,2.3,8.7,26.4,20.7,ZMB,16.48836,115.6744186,245.1578947,39.2,3,3269.79,56.59,11.3,14.03,275
Zimbabwe, ,0,0.7,3.4,18,56.3,75.7,ZWE,13.3665,42.2269504,229.9859155,38.6,3,1888.57,52.98,11.2,20.06,280
